,id,hand,weight_left,weight_right,weight_difference,contrast_level,chosen_weight,correct_input,timestamp,time_needed
0,6,realistic,185,195,10,4,left,False,2020.02.21-09.35.40.212,19.680999999999997
1,6,realistic,185,205,20,4,left,False,2020.02.21-09.36.08.506,16.653999
2,6,realistic,185,245,60,3,right,True,2020.02.21-09.36.34.966,10.734000000000002
3,6,realistic,185,215,30,4,left,False,2020.02.21-09.36.50.592,8.679
4,6,realistic,185,235,50,3,left,False,2020.02.21-09.37.09.100,10.142999999999999
5,6,realistic,225,185,40,4,left,True,2020.02.21-09.37.24.827,11.382
6,6,realistic,185,225,40,3,left,False,2020.02.21-09.37.40.822,13.023
7,6,realistic,235,185,50,4,left,True,2020.02.21-09.37.57.588,9.807
8,6,realistic,185,215,30,3,right,True,2020.02.21-09.38.13.751,10.599
9,6,realistic,185,245,60,4,right,True,2020.02.21-09.38.29.265,17.357
10,6,realistic,185,205,20,3,left,False,2020.02.21-09.38.56.451,12.321
11,6,realistic,185,195,10,5,left,False,2020.02.21-09.39.17.350,16.273001
12,6,realistic,185,195,10,3,left,False,2020.02.21-09.39.39.756,16.766001
13,6,realistic,205,185,20,5,left,True,2020.02.21-09.40.00.107,13.728
14,6,realistic,245,185,60,2,left,True,2020.02.21-09.40.22.368,12.365
15,6,realistic,185,215,30,5,right,True,2020.02.21-09.40.42.998,28.606001000000003
16,6,realistic,235,185,50,2,left,True,2020.02.21-09.41.17.981,12.487
17,6,realistic,225,185,40,5,left,True,2020.02.21-09.41.37.898,11.548
18,6,realistic,185,225,40,2,left,False,2020.02.21-09.41.54.48,19.445999
19,6,realistic,185,235,50,5,left,False,2020.02.21-09.42.18.398,14.197000000000001
20,6,realistic,215,185,30,2,left,True,2020.02.21-09.42.38.537,12.454
21,6,realistic,245,185,60,5,left,True,2020.02.21-09.42.55.883,8.857000000000001
22,6,realistic,205,185,20,2,left,True,2020.02.21-09.43.13.274,34.213001
23,6,realistic,185,195,10,1,left,False,2020.02.21-09.43.51.61,23.702999
24,6,realistic,185,195,10,2,left,False,2020.02.21-09.44.20.896,11.56
25,6,realistic,185,205,20,1,right,True,2020.02.21-09.44.41.67,12.308
26,6,realistic,185,245,60,1,right,True,2020.02.21-09.45.03.183,12.655
27,6,realistic,185,215,30,1,left,False,2020.02.21-09.45.20.764,15.815999999999999
28,6,realistic,185,235,50,1,left,False,2020.02.21-09.45.46.409,11.214
29,6,realistic,225,185,40,1,left,True,2020.02.21-09.46.03.209,14.464
30,6,realistic,205,185,20,4,left,True,2020.02.21-09.46.22.633,8.309
31,6,realistic,215,185,30,4,left,True,2020.02.21-09.46.38.336,9.261000000000001
32,6,realistic,195,185,10,4,left,True,2020.02.21-09.46.57.392,7.372000000000001
33,6,realistic,185,225,40,4,right,True,2020.02.21-09.47.10.561,9.392999999999999
34,6,realistic,245,185,60,3,right,False,2020.02.21-09.47.26.53,13.113
35,6,realistic,235,185,50,4,left,True,2020.02.21-09.47.44.941,10.79
36,6,realistic,235,185,50,3,left,True,2020.02.21-09.48.01.863,10.186
37,6,realistic,245,185,60,4,left,True,2020.02.21-09.48.17.825,8.488
38,6,realistic,185,225,40,3,right,True,2020.02.21-09.48.32.411,7.44
39,6,realistic,195,185,10,5,left,True,2020.02.21-09.48.45.636,7.316
40,6,realistic,215,185,30,3,left,True,2020.02.21-09.49.02.782,8.946
41,6,realistic,185,205,20,5,left,False,2020.02.21-09.49.18.843,8.166
42,6,realistic,205,185,20,3,left,True,2020.02.21-09.49.32.828,7.941
43,6,realistic,185,215,30,5,right,True,2020.02.21-09.49.46.810,7.742000000000001
44,6,realistic,185,195,10,3,left,False,2020.02.21-09.50.00.405,6.457000000000001
45,6,realistic,185,225,40,5,right,True,2020.02.21-09.50.13.16,5.909
46,6,realistic,245,185,60,2,left,True,2020.02.21-09.50.25.23,6.377000000000001
47,6,realistic,185,235,50,5,right,True,2020.02.21-09.50.38.493,86.866997
48,6,realistic,235,185,50,2,left,True,2020.02.21-09.52.10.262,7.071000000000001
49,6,realistic,185,245,60,5,right,True,2020.02.21-09.52.22.449,9.304
50,6,realistic,225,185,40,2,left,True,2020.02.21-09.52.37.572,8.701
51,6,realistic,195,185,10,1,left,True,2020.02.21-09.52.51.188,7.2379999999999995
52,6,realistic,215,185,30,2,left,True,2020.02.21-09.53.08.255,9.048
53,6,realistic,205,185,20,1,left,True,2020.02.21-09.53.24.686,6.4670000000000005
54,6,realistic,185,205,20,2,left,False,2020.02.21-09.53.36.994,7.417000000000001
55,6,realistic,185,215,30,1,right,True,2020.02.21-09.53.55.447,6.3229999999999995
56,6,realistic,195,185,10,2,left,True,2020.02.21-09.54.09.789,9.326
57,6,realistic,225,185,40,1,right,False,2020.02.21-09.54.24.29,12.365
