,id,hand,weight_left,weight_right,weight_difference,contrast_level,chosen_weight,correct_input,timestamp,time_needed
0,3,abstract,195,185,10,5,left,True,2020.02.19-17.47.02.402,6.534
1,3,abstract,205,185,20,5,left,True,2020.02.19-17.47.14.778,7.06
2,3,abstract,245,185,60,4,left,True,2020.02.19-17.47.30.382,6.099
3,3,abstract,215,185,30,5,left,True,2020.02.19-17.47.41.363,5.595
4,3,abstract,185,235,50,4,right,True,2020.02.19-17.47.52.901,4.8919999999999995
5,3,abstract,225,185,40,5,left,True,2020.02.19-17.48.03.389,5.652
6,3,abstract,225,185,40,4,left,True,2020.02.19-17.48.15.173,5.417000000000001
7,3,abstract,235,185,50,5,left,True,2020.02.19-17.48.28.29,5.083
8,3,abstract,215,185,30,4,left,True,2020.02.19-17.48.38.37,6.099
9,3,abstract,245,185,60,5,left,True,2020.02.19-17.48.49.13,5.499
10,3,abstract,185,205,20,4,left,False,2020.02.19-17.49.02.611,5.64
11,3,abstract,185,195,10,1,left,False,2020.02.19-17.49.16.841,5.63
12,3,abstract,195,185,10,4,left,True,2020.02.19-17.49.28.424,5.716
13,3,abstract,205,185,20,1,left,True,2020.02.19-17.49.39.984,5.496
14,3,abstract,185,245,60,3,right,True,2020.02.19-17.49.50.292,5.621
15,3,abstract,185,215,30,1,left,False,2020.02.19-17.50.00.827,7.462000000000001
16,3,abstract,185,235,50,3,right,True,2020.02.19-17.50.18.118,5.25
17,3,abstract,185,225,40,1,right,True,2020.02.19-17.50.28.271,6.255
18,3,abstract,225,185,40,3,left,True,2020.02.19-17.50.39.128,4.97
19,3,abstract,235,185,50,1,left,True,2020.02.19-17.50.51.538,5.138
20,3,abstract,185,215,30,3,left,False,2020.02.19-17.51.03.31,6.121
21,3,abstract,185,245,60,1,left,False,2020.02.19-17.51.14.78,6.256
22,3,abstract,205,185,20,3,left,True,2020.02.19-17.51.25.148,5.272
23,3,abstract,185,195,10,2,left,False,2020.02.19-17.51.33.994,4.78
24,3,abstract,185,195,10,3,left,False,2020.02.19-17.51.44.906,5.675
25,3,abstract,185,205,20,2,left,False,2020.02.19-17.51.59.181,5.551
26,3,abstract,185,245,60,2,right,True,2020.02.19-17.52.14.551,5.372000000000001
27,3,abstract,215,185,30,2,left,True,2020.02.19-17.52.26.55,7.462000000000001
28,3,abstract,185,235,50,2,right,True,2020.02.19-17.52.39.459,5.072
29,3,abstract,185,225,40,2,right,True,2020.02.19-17.52.49.445,5.473
30,3,abstract,205,185,20,5,left,True,2020.02.19-17.52.58.280,5.194
31,3,abstract,215,185,30,5,left,True,2020.02.19-17.53.10.879,5.284
32,3,abstract,195,185,10,5,left,True,2020.02.19-17.53.25.959,5.406000000000001
33,3,abstract,185,225,40,5,right,True,2020.02.19-17.53.37.162,4.703
34,3,abstract,245,185,60,4,left,True,2020.02.19-17.53.47.963,5.306
35,3,abstract,235,185,50,5,right,False,2020.02.19-17.53.59.43,5.763999999999999
36,3,abstract,235,185,50,4,left,True,2020.02.19-17.54.10.939,6.612
37,3,abstract,245,185,60,5,left,True,2020.02.19-17.54.23.338,6.8020000000000005
38,3,abstract,185,225,40,4,right,True,2020.02.19-17.54.36.239,5.003
39,3,abstract,185,195,10,1,right,True,2020.02.19-17.54.47.375,7.528
40,3,abstract,215,185,30,4,left,True,2020.02.19-17.55.00.30,5.382999999999999
41,3,abstract,205,185,20,1,left,True,2020.02.19-17.55.12.808,5.662999999999999
42,3,abstract,205,185,20,4,left,True,2020.02.19-17.55.24.603,6.4670000000000005
43,3,abstract,185,215,30,1,left,False,2020.02.19-17.55.37.114,7.204
44,3,abstract,195,185,10,4,left,True,2020.02.19-17.55.52.349,6.433
45,3,abstract,225,185,40,1,left,True,2020.02.19-17.56.03.708,5.407
46,3,abstract,245,185,60,3,left,True,2020.02.19-17.56.18.891,5.4479999999999995
47,3,abstract,185,235,50,1,right,True,2020.02.19-17.56.31.421,5.517
48,3,abstract,235,185,50,3,left,True,2020.02.19-17.56.41.841,5.518
49,3,abstract,185,245,60,1,right,True,2020.02.19-17.56.52.475,6.021
50,3,abstract,185,225,40,3,right,True,2020.02.19-17.57.05.878,6.456
51,3,abstract,195,185,10,2,right,False,2020.02.19-17.57.18.109,6.757999999999999
52,3,abstract,215,185,30,3,left,True,2020.02.19-17.57.34.686,7.17
53,3,abstract,205,185,20,2,left,True,2020.02.19-17.57.49.240,5.93
54,3,abstract,205,185,20,3,left,True,2020.02.19-17.58.01.303,6.143
55,3,abstract,215,185,30,2,left,True,2020.02.19-17.58.14.840,6.345
56,3,abstract,195,185,10,3,right,False,2020.02.19-17.58.30.981,6.031000000000001
57,3,abstract,225,185,40,2,left,True,2020.02.19-17.58.41.938,5.7410000000000005
58,3,abstract,245,185,60,2,left,True,2020.02.19-17.58.57.464,7.36
59,3,abstract,235,185,50,2,left,True,2020.02.19-17.59.10.600,5.35
60,3,abstract,215,185,30,5,left,True,2020.02.19-17.59.20.875,5.317
61,3,abstract,185,225,40,5,right,True,2020.02.19-17.59.31.141,5.962999999999999
62,3,abstract,205,185,20,5,left,True,2020.02.19-17.59.40.467,7.817
63,3,abstract,185,235,50,5,left,False,2020.02.19-17.59.52.887,6.222
64,3,abstract,195,185,10,5,left,True,2020.02.19-18.00.05.887,6.067
65,3,abstract,185,245,60,5,right,True,2020.02.19-18.00.18.924,7.1610000000000005
66,3,abstract,185,245,60,4,right,True,2020.02.19-18.00.32.217,5.517
67,3,abstract,195,185,10,1,left,True,2020.02.19-18.00.44.692,7.0489999999999995
68,3,abstract,235,185,50,4,left,True,2020.02.19-18.01.00.375,5.54
69,3,abstract,185,205,20,1,right,True,2020.02.19-18.01.12.58,5.563
70,3,abstract,185,225,40,4,right,True,2020.02.19-18.01.23.440,5.44
71,3,abstract,185,215,30,1,left,False,2020.02.19-18.01.37.480,6.58
72,3,abstract,215,185,30,4,left,True,2020.02.19-18.01.51.409,5.8420000000000005
73,3,abstract,225,185,40,1,left,True,2020.02.19-18.02.05.874,5.093
74,3,abstract,185,205,20,4,right,True,2020.02.19-18.02.17.815,5.685
75,3,abstract,235,185,50,1,left,True,2020.02.19-18.02.29.643,4.914
76,3,abstract,195,185,10,4,right,False,2020.02.19-18.02.43.169,6.11
77,3,abstract,185,245,60,1,left,False,2020.02.19-18.02.56.249,7.237
78,3,abstract,185,245,60,3,right,True,2020.02.19-18.03.09.619,6.188
79,3,abstract,185,195,10,2,left,False,2020.02.19-18.03.20.733,5.305
80,3,abstract,235,185,50,3,left,True,2020.02.19-18.03.29.958,5.162000000000001
81,3,abstract,185,205,20,2,left,False,2020.02.19-18.03.41.262,5.831
82,3,abstract,185,225,40,3,right,True,2020.02.19-18.03.52.924,5.831
83,3,abstract,215,185,30,2,left,True,2020.02.19-18.04.03.714,5.25
84,3,abstract,215,185,30,3,left,True,2020.02.19-18.04.15.96,5.607
85,3,abstract,185,225,40,2,right,True,2020.02.19-18.04.25.651,6.266
86,3,abstract,205,185,20,3,left,True,2020.02.19-18.04.35.279,5.562
87,3,abstract,185,235,50,2,right,True,2020.02.19-18.04.45.432,7.015
88,3,abstract,195,185,10,3,left,True,2020.02.19-18.04.59.226,5.742000000000001
89,3,abstract,185,245,60,2,left,False,2020.02.19-18.05.11.938,6.556
90,3,abstract,185,225,40,5,left,False,2020.02.19-18.05.25.877,6.255
91,3,abstract,235,185,50,5,left,True,2020.02.19-18.05.35.873,5.3629999999999995
92,3,abstract,185,215,30,5,left,False,2020.02.19-18.05.47.591,4.859
93,3,abstract,185,245,60,5,right,True,2020.02.19-18.05.57.377,5.227
94,3,abstract,185,205,20,5,right,True,2020.02.19-18.06.12.433,5.774
95,3,abstract,195,185,10,1,left,True,2020.02.19-18.06.25.993,5.9079999999999995
96,3,abstract,185,195,10,5,right,True,2020.02.19-18.06.37.867,6.779
97,3,abstract,185,205,20,1,right,True,2020.02.19-18.06.53.258,7.359
98,3,abstract,185,245,60,4,right,True,2020.02.19-18.07.10.425,7.093999999999999
99,3,abstract,185,215,30,1,right,True,2020.02.19-18.07.22.445,5.629
100,3,abstract,235,185,50,4,left,True,2020.02.19-18.07.34.439,5.284
101,3,abstract,185,225,40,1,right,True,2020.02.19-18.07.43.465,6.612
102,3,abstract,185,225,40,4,right,True,2020.02.19-18.07.56.210,6.121
103,3,abstract,235,185,50,1,left,True,2020.02.19-18.08.06.73,4.97
104,3,abstract,215,185,30,4,left,True,2020.02.19-18.08.15.969,4.9030000000000005
105,3,abstract,185,245,60,1,right,True,2020.02.19-18.08.26.994,5.63
106,3,abstract,185,205,20,4,right,True,2020.02.19-18.08.42.451,6.077999999999999
107,3,abstract,195,185,10,2,left,True,2020.02.19-18.08.56.314,6.445
108,3,abstract,195,185,10,4,left,True,2020.02.19-18.09.08.891,5.563
109,3,abstract,185,205,20,2,left,False,2020.02.19-18.09.22.261,5.25
110,3,abstract,245,185,60,3,left,True,2020.02.19-18.09.35.609,6.066
111,3,abstract,185,215,30,2,right,True,2020.02.19-18.09.49.929,5.4510000000000005
112,3,abstract,185,235,50,3,left,False,2020.02.19-18.10.05.208,6.709
113,3,abstract,185,225,40,2,right,True,2020.02.19-18.10.16.825,5.685
114,3,abstract,225,185,40,3,left,True,2020.02.19-18.10.27.112,5.8420000000000005
115,3,abstract,185,235,50,2,right,True,2020.02.19-18.10.38.561,5.596
116,3,abstract,185,215,30,3,left,False,2020.02.19-18.10.53.976,6.531000000000001
117,3,abstract,185,245,60,2,left,False,2020.02.19-18.11.05.424,7.305
118,3,abstract,185,205,20,3,right,True,2020.02.19-18.11.22.547,6.244
119,3,abstract,195,185,10,3,left,True,2020.02.19-18.11.36.576,5.864
120,3,abstract,185,235,50,5,right,True,2020.02.19-18.11.49.242,5.072
121,3,abstract,185,245,60,5,right,True,2020.02.19-18.12.02.903,6.099
122,3,abstract,225,185,40,5,left,True,2020.02.19-18.12.14.821,5.495
123,3,abstract,195,185,10,1,right,False,2020.02.19-18.12.25.243,6.813
124,3,abstract,185,215,30,5,right,True,2020.02.19-18.12.40.75,5.664
125,3,abstract,185,205,20,1,right,True,2020.02.19-18.12.56.797,6.065
126,3,abstract,185,205,20,5,left,False,2020.02.19-18.13.08.994,7.962999999999999
127,3,abstract,215,185,30,1,left,True,2020.02.19-18.13.24.73,5.7860000000000005
128,3,abstract,195,185,10,5,left,True,2020.02.19-18.13.39.654,6.178
129,3,abstract,185,225,40,1,left,False,2020.02.19-18.13.51.629,6.031000000000001
130,3,abstract,185,245,60,4,right,True,2020.02.19-18.14.05.32,6.556
131,3,abstract,185,235,50,1,right,True,2020.02.19-18.14.20.190,5.7410000000000005
132,3,abstract,235,185,50,4,left,True,2020.02.19-18.14.30.834,5.015
133,3,abstract,245,185,60,1,left,True,2020.02.19-18.14.41.635,6.678999999999999
134,3,abstract,185,225,40,4,left,False,2020.02.19-18.14.54.402,7.361000000000001
135,3,abstract,195,185,10,2,left,True,2020.02.19-18.15.07.537,6.602
136,3,abstract,185,215,30,4,right,True,2020.02.19-18.15.22.168,6.235
137,3,abstract,205,185,20,2,left,True,2020.02.19-18.15.34.456,6.221
138,3,abstract,185,205,20,4,right,True,2020.02.19-18.15.46.509,8.062999999999999
139,3,abstract,185,215,30,2,right,True,2020.02.19-18.16.05.608,6.289
140,3,abstract,195,185,10,4,left,True,2020.02.19-18.16.19.928,5.752000000000001
141,3,abstract,185,225,40,2,right,True,2020.02.19-18.16.31.488,6.021
142,3,abstract,185,245,60,3,right,True,2020.02.19-18.16.44.881,6.4670000000000005
143,3,abstract,235,185,50,2,left,True,2020.02.19-18.16.56.486,6.021
144,3,abstract,185,235,50,3,left,False,2020.02.19-18.17.07.420,6.725
145,3,abstract,245,185,60,2,left,True,2020.02.19-18.17.21.227,5.909
146,3,abstract,185,225,40,3,right,True,2020.02.19-18.17.33.234,6.535
147,3,abstract,195,185,10,3,right,False,2020.02.19-18.17.45.554,6.289
148,3,abstract,215,185,30,3,left,True,2020.02.19-18.18.01.661,6.277
149,3,abstract,205,185,20,3,left,True,2020.02.19-18.18.15.321,5.314
150,3,abstract,245,185,60,5,left,True,2020.02.19-18.18.29.183,5.864
151,3,abstract,195,185,10,1,left,True,2020.02.19-18.18.45.982,6.678999999999999
152,3,abstract,235,185,50,5,left,True,2020.02.19-18.19.01.285,5.472
153,3,abstract,185,205,20,1,left,False,2020.02.19-18.19.12.900,5.34
154,3,abstract,185,225,40,5,right,True,2020.02.19-18.19.24.71,5.852
155,3,abstract,215,185,30,1,left,True,2020.02.19-18.19.34.883,5.853
156,3,abstract,215,185,30,5,left,True,2020.02.19-18.19.46.868,5.16
157,3,abstract,185,225,40,1,right,True,2020.02.19-18.19.56.976,5.34
158,3,abstract,185,205,20,5,left,False,2020.02.19-18.20.08.146,7.182
159,3,abstract,235,185,50,1,left,True,2020.02.19-18.20.21.460,5.148
160,3,abstract,195,185,10,5,right,False,2020.02.19-18.20.35.210,6.401
161,3,abstract,245,185,60,1,left,True,2020.02.19-18.20.52.568,5.852
162,3,abstract,245,185,60,4,left,True,2020.02.19-18.21.04.553,6.02
163,3,abstract,185,195,10,2,left,False,2020.02.19-18.21.16.839,5.3389999999999995
164,3,abstract,235,185,50,4,left,True,2020.02.19-18.21.26.99,5.617999999999999
165,3,abstract,185,205,20,2,left,False,2020.02.19-18.21.37.860,5.3389999999999995
166,3,abstract,225,185,40,4,left,True,2020.02.19-18.21.50.24,5.026
167,3,abstract,215,185,30,2,left,True,2020.02.19-18.22.03.696,6.779
168,3,abstract,185,215,30,4,left,False,2020.02.19-18.22.17.803,6.141
169,3,abstract,185,225,40,2,right,True,2020.02.19-18.22.32.558,5.517
170,3,abstract,185,205,20,4,left,False,2020.02.19-18.22.43.917,6.121
171,3,abstract,185,235,50,2,right,True,2020.02.19-18.22.54.953,6.867999999999999
172,3,abstract,195,185,10,4,left,True,2020.02.19-18.23.08.602,6.042999999999999
173,3,abstract,185,245,60,2,right,True,2020.02.19-18.23.21.615,5.684
174,3,abstract,245,185,60,3,left,True,2020.02.19-18.23.34.582,7.372999999999999
175,3,abstract,185,195,10,3,right,True,2020.02.19-18.23.48.222,5.997999999999999
176,3,abstract,235,185,50,3,left,True,2020.02.19-18.23.58.140,5.7410000000000005
177,3,abstract,185,205,20,3,right,True,2020.02.19-18.24.10.25,6.242999999999999
178,3,abstract,225,185,40,3,left,True,2020.02.19-18.24.23.90,5.744
179,3,abstract,215,185,30,3,left,True,2020.02.19-18.24.37.479,5.73
180,3,abstract,185,195,10,1,right,True,2020.02.19-18.24.48.325,6.712999999999999
181,3,abstract,205,185,20,1,left,True,2020.02.19-18.24.58.624,5.372000000000001
182,3,abstract,185,245,60,5,right,True,2020.02.19-18.25.08.810,5.652
183,3,abstract,215,185,30,1,left,True,2020.02.19-18.25.20.594,5.763999999999999
184,3,abstract,185,235,50,5,left,False,2020.02.19-18.25.32.300,5.54
185,3,abstract,225,185,40,1,left,True,2020.02.19-18.25.43.436,5.182
186,3,abstract,225,185,40,5,left,True,2020.02.19-18.25.54.749,5.497000000000001
187,3,abstract,235,185,50,1,left,True,2020.02.19-18.26.07.684,5.854
188,3,abstract,185,215,30,5,right,True,2020.02.19-18.26.19.893,5.407
189,3,abstract,185,245,60,1,right,True,2020.02.19-18.26.30.225,5.619
190,3,abstract,205,185,20,5,right,False,2020.02.19-18.26.40.658,6.746
191,3,abstract,195,185,10,2,left,True,2020.02.19-18.26.53.246,5.7860000000000005
192,3,abstract,195,185,10,5,left,True,2020.02.19-18.27.05.164,5.1160000000000005
193,3,abstract,185,205,20,2,left,False,2020.02.19-18.27.18.99,4.958
194,3,abstract,185,245,60,4,right,True,2020.02.19-18.27.32.864,5.809
195,3,abstract,215,185,30,2,left,True,2020.02.19-18.27.44.805,6.233
196,3,abstract,185,235,50,4,left,False,2020.02.19-18.27.56.979,5.642
197,3,abstract,185,225,40,2,right,True,2020.02.19-18.28.07.535,5.484
198,3,abstract,225,185,40,4,left,True,2020.02.19-18.28.17.622,5.886
199,3,abstract,185,235,50,2,left,False,2020.02.19-18.28.29.115,6.311
200,3,abstract,185,215,30,4,right,True,2020.02.19-18.28.45.233,6.166
201,3,abstract,185,245,60,2,left,False,2020.02.19-18.28.56.323,6.011
202,3,abstract,205,185,20,4,left,True,2020.02.19-18.29.07.148,5.763
203,3,abstract,195,185,10,3,left,True,2020.02.19-18.29.18.753,5.517
204,3,abstract,185,195,10,4,left,False,2020.02.19-18.29.30.236,5.372000000000001
205,3,abstract,185,205,20,3,left,False,2020.02.19-18.29.44.209,5.35
206,3,abstract,185,245,60,3,right,True,2020.02.19-18.29.59.365,5.372999999999999
207,3,abstract,215,185,30,3,left,True,2020.02.19-18.30.10.882,7.919
208,3,abstract,235,185,50,3,left,True,2020.02.19-18.30.23.726,6.569
209,3,abstract,185,225,40,3,right,True,2020.02.19-18.30.34.36,5.775
210,3,abstract,205,185,20,1,left,True,2020.02.19-18.30.43.173,5.797000000000001
211,3,abstract,215,185,30,1,left,True,2020.02.19-18.30.56.362,5.71
212,3,abstract,185,195,10,1,left,False,2020.02.19-18.31.07.188,5.551
213,3,abstract,185,225,40,1,right,True,2020.02.19-18.31.18.893,5.417999999999999
214,3,abstract,185,245,60,5,right,True,2020.02.19-18.31.31.683,5.562
215,3,abstract,185,235,50,1,right,True,2020.02.19-18.31.45.856,6.111000000000001
