,id,hand,weight_left,weight_right,weight_difference,contrast_level,chosen_weight,correct_input,timestamp,time_needed
0,5,abstract,185,235,50,2,right,True,2020.02.20-20.17.28.41,17.155001000000002
1,5,abstract,185,245,60,2,right,True,2020.02.20-20.17.53.774,15.279000000000002
2,5,abstract,225,185,40,2,left,True,2020.02.20-20.18.14.884,11.494000000000002
3,5,abstract,195,185,10,3,left,True,2020.02.20-20.18.31.292,11.002
4,5,abstract,185,215,30,2,left,False,2020.02.20-20.18.50.314,9.327
5,5,abstract,185,205,20,3,right,True,2020.02.20-20.19.10.688,9.113999999999999
6,5,abstract,185,205,20,2,left,False,2020.02.20-20.19.25.934,10.710999999999999
7,5,abstract,215,185,30,3,left,True,2020.02.20-20.19.43.760,9.593
8,5,abstract,185,195,10,2,left,False,2020.02.20-20.19.58.472,9.103
9,5,abstract,185,225,40,3,right,True,2020.02.20-20.20.13.718,10.387
10,5,abstract,185,245,60,1,right,True,2020.02.20-20.20.31.478,10.074
11,5,abstract,185,235,50,3,left,False,2020.02.20-20.20.50.153,7.841
12,5,abstract,185,235,50,1,left,False,2020.02.20-20.21.04.115,13.527000000000001
13,5,abstract,185,245,60,3,right,True,2020.02.20-20.21.26.231,8.221
14,5,abstract,225,185,40,1,right,False,2020.02.20-20.21.40.271,8.634
15,5,abstract,195,185,10,4,left,True,2020.02.20-20.21.53.820,9.628
16,5,abstract,185,215,30,1,right,True,2020.02.20-20.22.11.468,9.169
17,5,abstract,185,205,20,4,left,False,2020.02.20-20.22.31.695,11.573
18,5,abstract,205,185,20,1,left,True,2020.02.20-20.22.49.76,8.812999999999999
19,5,abstract,215,185,30,4,left,True,2020.02.20-20.23.05.294,9.171
20,5,abstract,185,195,10,1,left,False,2020.02.20-20.23.19.579,8.533999999999999
21,5,abstract,185,225,40,4,right,True,2020.02.20-20.23.34.257,8.299
22,5,abstract,185,245,60,5,right,True,2020.02.20-20.23.49.928,8.41
23,5,abstract,185,235,50,4,left,False,2020.02.20-20.24.06.939,8.579
24,5,abstract,185,235,50,5,left,False,2020.02.20-20.24.21.650,8.475
25,5,abstract,185,245,60,4,left,False,2020.02.20-20.24.38.717,8.722999999999999
26,5,abstract,185,225,40,5,left,False,2020.02.20-20.24.54.823,7.7410000000000005
27,5,abstract,195,185,10,5,left,True,2020.02.20-20.25.08.349,9.071
28,5,abstract,185,215,30,5,left,False,2020.02.20-20.25.25.439,8.321
29,5,abstract,185,205,20,5,right,True,2020.02.20-20.25.44.818,10.600999999999999
30,5,abstract,245,185,60,2,left,True,2020.02.20-20.26.03.516,12.786
31,5,abstract,185,195,10,3,left,False,2020.02.20-20.26.22.561,10.845
32,5,abstract,185,235,50,2,right,True,2020.02.20-20.26.40.778,9.059
33,5,abstract,205,185,20,3,left,True,2020.02.20-20.26.54.427,8.075
34,5,abstract,225,185,40,2,left,True,2020.02.20-20.27.07.472,8.021
35,5,abstract,215,185,30,3,left,True,2020.02.20-20.27.24.137,8.434
