,id,hand,weight_left,weight_right,weight_difference,contrast_level,chosen_weight,correct_input,timestamp,time_needed
0,4,realistic,185,215,30,1,right,True,2020.02.19-19.13.37.655,6.278
1,4,realistic,185,225,40,1,right,True,2020.02.19-19.13.52.556,4.5680000000000005
2,4,realistic,185,205,20,1,right,True,2020.02.19-19.14.02.965,4.145
3,4,realistic,235,185,50,1,left,True,2020.02.19-19.14.13.241,4.58
4,4,realistic,195,185,10,1,left,True,2020.02.19-19.14.26.433,4.166
5,4,realistic,185,245,60,1,right,True,2020.02.19-19.14.37.569,4.457
6,4,realistic,245,185,60,5,left,True,2020.02.19-19.14.49.308,4.8919999999999995
7,4,realistic,195,185,10,2,left,True,2020.02.19-19.15.05.135,4.357
8,4,realistic,235,185,50,5,left,True,2020.02.19-19.15.18.126,3.742
9,4,realistic,185,205,20,2,right,True,2020.02.19-19.15.28.12,4.02
10,4,realistic,185,225,40,5,right,True,2020.02.19-19.15.37.864,4.165
11,4,realistic,185,215,30,2,right,True,2020.02.19-19.15.50.630,4.524
12,4,realistic,215,185,30,5,right,False,2020.02.19-19.16.02.504,4.657
13,4,realistic,185,225,40,2,right,True,2020.02.19-19.16.12.109,3.8310000000000004
14,4,realistic,205,185,20,5,left,True,2020.02.19-19.16.19.314,4.49
15,4,realistic,235,185,50,2,left,True,2020.02.19-19.16.29.992,6.925
16,4,realistic,195,185,10,5,left,True,2020.02.19-19.16.45.530,5.271
17,4,realistic,185,245,60,2,left,False,2020.02.19-19.16.57.771,4.122
18,4,realistic,245,185,60,4,left,True,2020.02.19-19.17.09.176,3.6289999999999996
19,4,realistic,195,185,10,3,right,False,2020.02.19-19.17.23.741,5.506
20,4,realistic,235,185,50,4,left,True,2020.02.19-19.17.37.883,3.662
21,4,realistic,185,205,20,3,right,True,2020.02.19-19.17.47.677,3.8539999999999996
22,4,realistic,185,225,40,4,left,False,2020.02.19-19.17.57.361,4.022
23,4,realistic,185,215,30,3,right,True,2020.02.19-19.18.09.983,4.189
24,4,realistic,215,185,30,4,left,True,2020.02.19-19.18.21.522,4.657
25,4,realistic,225,185,40,3,left,True,2020.02.19-19.18.34.802,4.053999999999999
26,4,realistic,205,185,20,4,left,True,2020.02.19-19.18.43.827,4.188
27,4,realistic,235,185,50,3,left,True,2020.02.19-19.18.54.193,3.865
28,4,realistic,195,185,10,4,left,True,2020.02.19-19.19.06.658,3.91
29,4,realistic,245,185,60,3,left,True,2020.02.19-19.19.21.525,3.842
30,4,realistic,185,225,40,1,right,True,2020.02.19-19.19.31.455,3.54
31,4,realistic,235,185,50,1,left,True,2020.02.19-19.19.38.737,4.066
32,4,realistic,185,215,30,1,left,False,2020.02.19-19.19.49.159,5.428
33,4,realistic,185,245,60,1,right,True,2020.02.19-19.19.59.514,4.857
34,4,realistic,205,185,20,1,left,True,2020.02.19-19.20.09.186,5.272
35,4,realistic,185,195,10,2,right,True,2020.02.19-19.20.18.44,4.245
36,4,realistic,185,195,10,1,left,False,2020.02.19-19.20.28.421,4.322
37,4,realistic,185,205,20,2,left,False,2020.02.19-19.20.41.354,4.7139999999999995
38,4,realistic,245,185,60,5,left,True,2020.02.19-19.20.54.167,4.255
39,4,realistic,185,215,30,2,right,True,2020.02.19-19.21.06.688,4.423
40,4,realistic,185,235,50,5,right,True,2020.02.19-19.21.20.940,3.62
41,4,realistic,225,185,40,2,left,True,2020.02.19-19.21.30.144,4.703
42,4,realistic,225,185,40,5,left,True,2020.02.19-19.21.40.979,3.641
43,4,realistic,235,185,50,2,left,True,2020.02.19-19.21.52.59,3.753
44,4,realistic,215,185,30,5,left,True,2020.02.19-19.22.00.738,4.022
45,4,realistic,185,245,60,2,right,True,2020.02.19-19.22.10.880,3.63
46,4,realistic,205,185,20,5,left,True,2020.02.19-19.22.19.336,3.1719999999999997
47,4,realistic,195,185,10,3,left,True,2020.02.19-19.22.28.360,3.932
48,4,realistic,195,185,10,5,left,True,2020.02.19-19.22.38.425,4.244
49,4,realistic,205,185,20,3,left,True,2020.02.19-19.22.48.521,4.367
50,4,realistic,245,185,60,4,left,True,2020.02.19-19.23.01.433,6.859
51,4,realistic,185,215,30,3,right,True,2020.02.19-19.23.16.558,3.965
52,4,realistic,235,185,50,4,left,True,2020.02.19-19.23.26.889,4.949
53,4,realistic,185,225,40,3,right,True,2020.02.19-19.23.35.580,4.535
54,4,realistic,225,185,40,4,left,True,2020.02.19-19.23.44.705,4.033
55,4,realistic,185,235,50,3,right,True,2020.02.19-19.23.54.334,4.199
56,4,realistic,215,185,30,4,left,True,2020.02.19-19.24.04.475,3.7310000000000003
57,4,realistic,245,185,60,3,left,True,2020.02.19-19.24.13.98,3.508
58,4,realistic,185,205,20,4,right,True,2020.02.19-19.24.24.704,4.2989999999999995
59,4,realistic,195,185,10,4,left,True,2020.02.19-19.24.36.800,3.497
60,4,realistic,235,185,50,1,left,True,2020.02.19-19.24.48.920,3.9419999999999997
61,4,realistic,185,245,60,1,right,True,2020.02.19-19.24.57.989,9.651
62,4,realistic,225,185,40,1,left,True,2020.02.19-19.25.13.471,7.696000000000001
63,4,realistic,185,195,10,2,left,False,2020.02.19-19.25.25.936,3.697
64,4,realistic,185,215,30,1,right,True,2020.02.19-19.25.35.475,6.903
65,4,realistic,185,205,20,2,left,False,2020.02.19-19.25.53.424,3.6189999999999998
66,4,realistic,185,205,20,1,right,True,2020.02.19-19.26.03.175,4.211
67,4,realistic,185,215,30,2,right,True,2020.02.19-19.26.18.423,3.9760000000000004
68,4,realistic,195,185,10,1,right,False,2020.02.19-19.26.30.430,4.4110000000000005
69,4,realistic,225,185,40,2,left,True,2020.02.19-19.26.39.756,4.68
70,4,realistic,185,245,60,5,left,False,2020.02.19-19.26.50.267,3.9539999999999997
71,4,realistic,185,235,50,2,right,True,2020.02.19-19.27.02.822,3.6639999999999997
72,4,realistic,235,185,50,5,left,True,2020.02.19-19.27.11.389,4.288
73,4,realistic,185,245,60,2,right,True,2020.02.19-19.27.20.793,4.111000000000001
74,4,realistic,185,225,40,5,right,True,2020.02.19-19.27.32.298,3.128
75,4,realistic,185,195,10,3,right,True,2020.02.19-19.27.41.570,4.746
76,4,realistic,185,215,30,5,left,False,2020.02.19-19.27.52.158,6.165
77,4,realistic,205,185,20,3,left,True,2020.02.19-19.28.04.378,3.1489999999999996
78,4,realistic,185,205,20,5,right,True,2020.02.19-19.28.13.358,3.6519999999999997
79,4,realistic,185,215,30,3,left,False,2020.02.19-19.28.28.46,4.39
80,4,realistic,195,185,10,5,left,True,2020.02.19-19.28.40.467,3.8080000000000003
81,4,realistic,225,185,40,3,left,True,2020.02.19-19.28.49.202,3.6860000000000004
82,4,realistic,245,185,60,4,left,True,2020.02.19-19.29.02.661,3.764
83,4,realistic,235,185,50,3,left,True,2020.02.19-19.29.12.200,3.864
84,4,realistic,235,185,50,4,left,True,2020.02.19-19.29.22.196,3.966
85,4,realistic,245,185,60,3,left,True,2020.02.19-19.29.31.937,4.535
86,4,realistic,225,185,40,4,left,True,2020.02.19-19.29.46.234,6.143
87,4,realistic,185,195,10,4,left,False,2020.02.19-19.29.57.158,5.544
88,4,realistic,215,185,30,4,left,True,2020.02.19-19.30.07.825,4.032
89,4,realistic,205,185,20,4,left,True,2020.02.19-19.30.19.251,6.077000000000001
90,4,realistic,245,185,60,1,left,True,2020.02.19-19.30.33.872,4.87
91,4,realistic,185,195,10,2,right,True,2020.02.19-19.30.44.997,4.312
92,4,realistic,185,235,50,1,right,True,2020.02.19-19.30.56.681,5.976
93,4,realistic,185,205,20,2,right,True,2020.02.19-19.31.07.583,6.244
94,4,realistic,185,225,40,1,right,True,2020.02.19-19.31.19.657,4.791
95,4,realistic,215,185,30,2,right,False,2020.02.19-19.31.29.408,4.937
96,4,realistic,185,215,30,1,right,True,2020.02.19-19.31.41.672,3.91
97,4,realistic,185,225,40,2,right,True,2020.02.19-19.31.54.193,3.8760000000000003
