,id,hand,weight_left,weight_right,weight_difference,contrast_level,chosen_weight,correct_input,timestamp,time_needed
0,15,abstract,185,195,10,1,right,True,2020.03.06-13.11.39.314,16.011
1,15,abstract,205,185,20,1,left,True,2020.03.06-13.11.58.910,7.4270000000000005
2,15,abstract,185,245,60,5,right,True,2020.03.06-13.12.11.151,7.306
3,15,abstract,215,185,30,1,left,True,2020.03.06-13.12.24.589,7.606
4,15,abstract,185,235,50,5,right,True,2020.03.06-13.12.38.137,6.6129999999999995
5,15,abstract,225,185,40,1,right,False,2020.03.06-13.12.50.335,7.406000000000001
6,15,abstract,225,185,40,5,left,True,2020.03.06-13.13.03.873,6.702000000000001
7,15,abstract,235,185,50,1,left,True,2020.03.06-13.13.18.24,6.502000000000001
8,15,abstract,185,215,30,5,right,True,2020.03.06-13.13.30.880,7.395
9,15,abstract,185,245,60,1,right,True,2020.03.06-13.13.43.190,6.98
10,15,abstract,205,185,20,5,left,True,2020.03.06-13.13.54.985,6.154
11,15,abstract,195,185,10,2,left,True,2020.03.06-13.14.06.981,6.69
12,15,abstract,195,185,10,5,left,True,2020.03.06-13.14.19.792,5.63
13,15,abstract,185,205,20,2,left,False,2020.03.06-13.14.33.229,6.01
14,15,abstract,185,245,60,4,right,True,2020.03.06-13.14.49.46,6.968999999999999
15,15,abstract,215,185,30,2,left,True,2020.03.06-13.15.02.147,6.155
16,15,abstract,185,235,50,4,right,True,2020.03.06-13.15.14.244,6.032
17,15,abstract,185,225,40,2,right,True,2020.03.06-13.15.25.179,6.489
18,15,abstract,225,185,40,4,left,True,2020.03.06-13.15.36.271,6.5120000000000005
19,15,abstract,185,235,50,2,right,True,2020.03.06-13.15.48.390,6.835
20,15,abstract,185,215,30,4,left,False,2020.03.06-13.16.05.32,6.1770000000000005
21,15,abstract,185,245,60,2,right,True,2020.03.06-13.16.16.123,6.59
22,15,abstract,205,185,20,4,left,True,2020.03.06-13.16.27.528,6.021
