,id,hand,weight_left,weight_right,weight_difference,contrast_level,chosen_weight,correct_input,timestamp,time_needed
0,7,abstract,215,185,30,5,left,True,2020.02.21-11.14.04.941,20.664
1,7,abstract,185,225,40,5,right,True,2020.02.21-11.14.30.554,12.9
2,7,abstract,205,185,20,5,right,False,2020.02.21-11.14.46.817,14.867
3,7,abstract,185,235,50,5,right,True,2020.02.21-11.15.06.285,13.739
4,7,abstract,195,185,10,5,left,True,2020.02.21-11.15.26.804,11.493
5,7,abstract,185,245,60,5,right,True,2020.02.21-11.15.45.266,10.59
6,7,abstract,185,245,60,4,right,True,2020.02.21-11.16.01.988,10.042
7,7,abstract,195,185,10,1,left,True,2020.02.21-11.16.18.989,12.152000000000001
8,7,abstract,235,185,50,4,left,True,2020.02.21-11.16.39.765,10.912
9,7,abstract,185,205,20,1,right,True,2020.02.21-11.16.56.821,11.995
10,7,abstract,185,225,40,4,right,True,2020.02.21-11.17.14.647,10.243
11,7,abstract,185,215,30,1,right,True,2020.02.21-11.17.33.490,9.952
12,7,abstract,215,185,30,4,left,True,2020.02.21-11.17.50.792,9.506
13,7,abstract,225,185,40,1,left,True,2020.02.21-11.18.08.921,9.996
14,7,abstract,185,205,20,4,left,False,2020.02.21-11.18.25.764,12.03
15,7,abstract,235,185,50,1,left,True,2020.02.21-11.18.43.926,11.549000000000001
16,7,abstract,195,185,10,4,left,True,2020.02.21-11.19.04.88,10.387
17,7,abstract,185,245,60,1,right,True,2020.02.21-11.19.21.445,10.7
18,7,abstract,185,245,60,3,right,True,2020.02.21-11.19.38.277,11.93
19,7,abstract,185,195,10,2,left,False,2020.02.21-11.19.55.132,10.477
20,7,abstract,235,185,50,3,left,True,2020.02.21-11.20.09.541,9.192
21,7,abstract,185,205,20,2,left,False,2020.02.21-11.20.24.866,9.716000000000001
22,7,abstract,185,225,40,3,right,True,2020.02.21-11.20.40.414,10.097000000000001
23,7,abstract,215,185,30,2,left,True,2020.02.21-11.20.55.460,10.599
24,7,abstract,215,185,30,3,left,True,2020.02.21-11.21.12.191,9.248
25,7,abstract,185,225,40,2,left,False,2020.02.21-11.21.26.377,9.104
26,7,abstract,205,185,20,3,left,True,2020.02.21-11.21.38.854,9.571
